SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
15.413733185886208,-1.5258500576019287,-0.0051990700885653,56.40800094604492,-1.810824990272522,17.93000030517578,10.45798110961914,2.0,0.0,0.0,0.0,98.95
15.183905869984237,-1.4962259531021118,0.2079638987779617,56.17399978637695,-1.8418660163879397,17.8799991607666,11.265539169311523,2.0,0.0,0.0,1.0,99.85
14.89122097053336,-1.4411909580230713,0.4575197100639343,55.88600158691406,-1.873579025268555,17.809999465942383,12.777751922607422,2.0,0.0,0.0,2.0,100.75
14.836164463597406,-1.3717540502548218,0.4731166064739227,55.79600143432617,-1.860084056854248,17.81999969482422,12.694982528686523,2.0,0.0,0.0,3.0,101.65
14.782966014983565,-1.3173489570617676,0.5459030866622925,55.7239990234375,-1.843271017074585,17.81999969482422,11.632407188415527,2.0,0.0,0.0,4.0,102.55
15.032701943167984,-1.280413031578064,0.6446846723556519,55.5260009765625,-1.856863021850586,18.170000076293945,11.603325843811035,2.0,0.0,0.0,5.0,103.45
14.988927335537692,-1.2597750425338743,0.6498845219612122,55.34600067138672,-1.839231014251709,18.25,11.073156356811523,2.0,0.0,0.0,6.0,102.54
15.09557010365674,-1.2561769485473633,0.6290894150733948,55.220001220703125,-1.8413840532302856,18.43000030517578,9.701874732971191,2.0,0.0,0.0,7.0,101.63
15.158758652914758,-1.2381110191345217,0.441921591758728,55.11199951171875,-1.8324259519577024,18.559999465942383,11.044075965881348,2.0,0.0,0.0,8.0,100.72
15.601736327914812,-1.2462589740753174,0.1507733017206192,55.16600036621094,-1.813277006149292,18.93000030517578,11.54740047454834,2.0,0.0,0.0,9.0,99.81
16.006569904280735,-1.2551130056381226,-0.2079637050628662,55.36399841308594,-1.742110013961792,19.170000076293945,12.777751922607422,2.0,0.0,0.0,10.0,98.9
16.027627332740195,-1.2748490571975708,-0.5407068133354187,55.652000427246094,-1.6692769527435305,18.989999771118164,10.484825134277344,2.0,0.0,0.0,11.0,98.31
15.932206933098774,-1.329807996749878,-0.5147106051445007,55.742000579833984,-1.6661579608917236,18.84000015258789,10.428900718688965,2.0,0.0,0.0,12.0,97.72
15.828233216273944,-1.3656020164489746,-0.4575198888778686,55.77799987792969,-1.657004952430725,18.71999931335449,9.395405769348145,2.0,0.0,0.0,13.0,97.13
15.69440165385418,-1.4053130149841309,-0.3379403054714203,55.7599983215332,-1.7104500532150269,18.61000061035156,12.106651306152344,2.0,0.0,0.0,14.0,96.54
15.631459522387985,-1.3887640237808228,-0.1767690032720565,55.61600112915039,-1.7587380409240725,18.649999618530277,9.86964988708496,2.0,0.0,0.0,15.0,95.95
15.474849639297126,-1.379412055015564,0.0103981597349047,55.34600067138672,-1.7822710275650024,18.690000534057617,8.697461128234863,2.0,0.0,0.0,16.0,97.55
15.47825886973523,-1.3732459545135498,0.2703523933887481,55.05799865722656,-1.8708579540252688,18.88999938964844,8.612455368041992,2.0,0.0,0.0,17.0,99.15
15.575443438848406,-1.352174997329712,0.3535372912883758,54.84199905395508,-1.9188519716262815,19.1299991607666,9.059855461120604,2.0,0.0,0.0,18.0,100.75
15.609377999919417,-1.3402249813079834,0.4939124882221222,54.71599960327149,-1.9140069484710691,19.25,9.842805862426758,2.0,0.0,0.0,19.0,102.35
15.949333529914128,-1.3419530391693115,0.4575200080871582,54.608001708984375,-1.8990839719772337,19.649999618530277,9.842805862426758,2.0,0.0,0.0,20.0,103.95
16.103885732353323,-1.304473042488098,0.2807512879371643,54.6619987487793,-1.879938006401062,19.76000022888184,10.62575626373291,2.0,0.0,0.0,21.0,103.96
16.32995328355343,-1.285946011543274,0.1663711965084076,54.71599960327149,-1.8446069955825808,19.940000534057617,10.149274826049805,2.0,0.0,0.0,22.0,103.97
